property_id,name,city,state,state_code,dist_code,sub_dist_code,village_code,type,lat,lon,base_elevation,total_height,owner,status,valuation_cr,zone,archetype,facade_theme,roof_feature,subsurface_infra
204,DLF Cyber City Building 10 (The Epitome),Gurugram,Haryana,6,18,102,44,Commercial,28.4952,77.0895,0.0,140.0,DLF CyberCity Holdings & Co-Tenants,Verified 3D Cadastre,2100.0,Gurugram (NCR / MCG Cyber City Zone),skybridge_twin,cyber_steel_blue,telecom_masts,rapid_metro_viaduct
301,Manyata Embassy High-Tech Park,Bengaluru,Karnataka,29,20,201,15,Commercial,13.0489,77.62,0.0,110.0,Embassy REIT Infrastructure,Verified 3D Cadastre,1750.0,Bengaluru Urban (BBMP / Hebbal IT Corridor),tech_park_interconnected_blocks,forest_green_solar,solar_pv_canopy,data_infrastructure_vault
302,Cubbon Park Underground Metro Junction,Bengaluru,Karnataka,29,20,201,11,Subsurface Utility,12.9815,77.595,-21.0,21.0,BMRCL Namma Metro Underground,Critical Infrastructure,540.0,Bengaluru Urban (BBMP / BMRCL Central Junction),subterranean_multilevel_cavern,heritage_stone_portal,botanical_ground,deep_shield_tunnel
303,UB City & Kingfisher Towers,Bengaluru,Karnataka,29,20,201,8,Apartment,12.9719,77.5958,0.0,128.0,UBHL & Prestige Luxury Living,Verified 3D Cadastre,1200.0,Bengaluru Urban (BBMP / CBD Vittal Mallya Road),stepped_spire_luxury,emerald_classical_glass,soaring_gilded_spire,luxury_concierge_parking
304,Whitefield Tech Park Nexus,Bengaluru,Karnataka,29,20,203,32,Commercial,12.986,77.732,0.0,95.0,Prestige Estates Projects,Verified 3D Cadastre,920.0,Bengaluru Urban (BBMP / Whitefield IT Corridor),geometric_modular_tech,cobalt_modular_grid,chill_plant_deck,fiber_optic_vault
401,GIFT Diamond Tower Pinnacle,GIFT City,Gujarat,24,7,101,1,Commercial,23.161,72.684,0.0,180.0,GIFT City Authority & FinTech SPV,Verified 3D Cadastre,2800.0,GIFT City (Gandhinagar / IFSCA Special SEZ),crystalline_diamond,fintech_cyan_facets,helipad_sky_lounge,gift_tum_tunnel
402,GIFT Subsurface Utility Tunnel (TUM),GIFT City,Gujarat,24,7,101,1,Subsurface Utility,23.162,72.685,-16.0,16.0,GIFT Urban Infrastructure Ltd,Subsurface Automated Utility,890.0,GIFT City (Gandhinagar / Automated TUM Trench),utility_tunnel_trench,industrial_concrete,smart_boulevard,cooling_waste_power_trays
403,GIFT Aspire Smart Residential,GIFT City,Gujarat,24,7,101,3,Apartment,23.159,72.682,0.0,105.0,GIFT Housing Development Authority,Verified 3D Cadastre,470.0,GIFT City (Gandhinagar / Smart Residential Enclave),smart_modular_residential,biophilic_green_facade,rooftop_hydroponics,automated_car_stacker
501,HITEC Cyber Towers (Cyberabad),Hyderabad,Telangana,36,12,101,2,Commercial,17.4504,78.3808,0.0,135.0,Telangana State Ind. Infra Corp (TSIIC),Verified 3D Cadastre,1600.0,Hyderabad (GHMC / Cyberabad HITEC City),cyber_cylindrical_radial,hyderabad_granite_azure,central_helipad_h,data_grid_bunker
502,Cyberabad Subsurface Data Vault,Hyderabad,Telangana,36,12,101,2,Subsurface Utility,17.449,78.3795,-20.0,20.0,National Cloud & Data Grid SPV,High-Security Subsurface,620.0,Hyderabad (GHMC / Cyberabad Data Infrastructure),subterranean_bunker_vault,blast_reinforced_walls,surface_substation,tier4_server_chambers
503,Durgam Cheruvu Mixed Urban Hub,Hyderabad,Telangana,36,12,102,14,Transit,17.433,78.387,0.0,45.0,Hyderabad Metro Rail & HMDA,Verified 3D Cadastre,390.0,Hyderabad (GHMC / HMDA Durgam Cheruvu Hub),cable_stayed_transit_hub,cable_stay_composite,cable_pylons,cable_anchorage_vault
601,TIDEL Park (OMR IT Expressway),Chennai,Tamil Nadu,33,2,104,21,Commercial,12.9892,80.2486,0.0,85.0,TIDEL Park Ltd (TIDCO),Verified 3D Cadastre,980.0,Chennai (GCC / OMR IT Expressway Corridor),it_linear_spine,monolithic_slate_glass,long_span_cooling_rigs,expressway_storm_reservoir
602,Chennai Central Underground Transit Hub,Chennai,Tamil Nadu,33,2,101,5,Subsurface Utility,13.0827,80.2755,-22.0,22.0,CMRL Underground Metro,Subsurface Title Active,720.0,Chennai (GCC / CMRL Central Interchange),subterranean_multilevel_cavern,heritage_red_portal,historic_railway_square,triple_tier_metro_concourse
701,New Town EcoSpace Tech Centre,Kolkata,West Bengal,19,11,103,19,Commercial,22.5855,88.468,0.0,92.0,Bengal Ambuja Housing Ltd,Verified 3D Cadastre,810.0,Kolkata (WBHIDCO / New Town Rajarhat IT Hub),green_terrace_commercial,eco_bamboo_glass,hanging_gardens,rainwater_harvesting_aquifer
702,Hooghly Underwater Subsurface Corridor,Kolkata,West Bengal,19,11,101,1,Subsurface Utility,22.582,88.351,-32.0,32.0,KMRCL Underwater Metro,Underwater Engineering Marvel,1150.0,Kolkata (KMC / KMRCL Underwater Hooghly Line),underwater_subaqueous_tunnel,subaqueous_shield_rings,hooghly_riverbed,twin_underwater_train_tubes
